STATE,FACILITY ID,FACILITY NAME,FACILITY ADDRESS,FACILITY STATUS,FACILITY CATEGORY,NO. OF STALLS,MONTHLY INVENTORY,PARKWHIZ,# of stall,WAY.COM,# of stall,NEIGHBOR,# of stall,SPACER,# of stall,GPS COORDINATES,FACILITY NOTES,REVENUE CATEGORY,LANDLORD,"FACILITY LOCATION
FOR WINTER SEASON",REMARKS LAST WINTER 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,20 Claymoss Rd. - Spot #2 (ARCHIVED) ,"20 Claymoss Road, Brighton 02135",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Attrayee Chakraborty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,20 Mead St. - Lot (ARCHIVED) ,"20 Mead St, Boston, MA 02134",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Cabot and Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,90113,20 Radcliffe Rd - Spot #18 Only,"20 Radcliffe Road, Boston, MA, 02134",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3510566,-71.1346868",,FIXED,Katima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,86781,20 Radcliffe Rd. - Spot #37 Only,"20 Radcliffe Road Boston, MA, 02134",PERMANENTLY CLOSED,Events and Daily ONLY,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3510566,-71.1346868",,FIXED,Benny Huang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,130830,20 Radcliffe Rd. - Spot #48 Only,"20 Radcliffe Road Boston, MA, 02134",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°21'04.0""N 71°08'04.9""W",,,Matt Moham ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,71134,"20 Radcliffe Rd. - Spots #1, 2, 3, 4, 5, or 6 Only","20 Radcliffe Road, Boston, MA, 02134",IN OPERATION,Daily Monthly & Event,6,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3510275,-71.1349698",,FIXED,Susan Zappone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,120435,20 Wellington St. - Right Spot Only,"20 Wellington St, Boston, MA 02118, USA",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.341528,-71.082306",,FIXED,Mike Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,150051,20 Museum Rd. - Fenway Parking Lot,"10-12 Museum Road Boston, MA, 02115",IN OPERATION,Events and Daily ONLY,20,N/A,Listed,0,Not Listed,,Not Listed,,Not Listed,,"42°20'18.9""N 71°05'45.2""W",,FIXED,Parking Boston Inc./ Jasmine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,148052,201 T St. NW - Spot #6 Only,"201 T Street Northwest Washington, DC 20001",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38°54'59.0""N 77°00'53.4""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,2012 N Orleans St. - Spot #5 (Covered Parking) (ARCHIVED) ,"2012 North Orleans Street, Chicago, IL 60614",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,202 Elm St. - Spot #1 (ARCHIVED) ,"202 Elm Street, Cambridge, MA 02140",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,110733,2020 15th St. NW - Right Spot Only,"2020 15th St NW, Washington, DC 20009, USA",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.917694,-77.035083",,FIXED,Adele Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA ,,2020 Cedar St. - Spot 'D' Only (ARCHIVED),"2020 Cedar St, Berkeley, CA 94709, USA",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Parham Karbassi/ Dauttis llc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,89233,2024 16th St. NW - Right Spot Only,"2024 16th Street Northwest Washington, DC, 20009",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"38.917703, -77.037112",,FIXED,Franco Peracchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,2031 Commonwealth Ave. - Spot #4 (ARCHIVED) ,"2031 Commonwealth Avenue, Boston, MA 02135",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Maura Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,2039 Commonwealth Ave. - Spot #16 (ARCHIVED),"2039 Commonwealth Avenue, Boston, MA 02135",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Steve Facelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,135999,2045 N Larrabee St. - Spot #577 Only,"2045 North Larrabee Street, Chicago, IL 60614",IN OPERATION,MONTHLY ONLY,1,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41°55'12.2""N 87°38'35.2""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,2049 N Sheffield Ave. - Whole Tandem Row Spot #2 Only (ARCHIVED) ," 2049 N Sheffield Ave, Chicago, IL 60614",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Rishi Kothari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,85554,"207 Hillside St. - Spots #2, #3 or #6 Only","205 Hillside Street Boston, MA, 02120",IN OPERATION,Events and Daily ONLY,3,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3320344,-71.1090754",,FIXED,Parking Boston Inc. (Jasmine Taylor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,45925,205 Kent St - Spot #64,"205 Kent Street, Brookline, MA 02446",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3376876,-71.1128499",,FIXED,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,205 Kent St. - Spot #43 (ARCHIVED) ,"205 Kent Street, Brookline, MA, 02446",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Amal K Arnaout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,22101,2053 W Fullerton Ave. - Spot #1 or 2,"2053 West Fullerton Avenue, Chicago, IL 60647",IN OPERATION,Daily&Monthly,2,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41.924647,-87.679956",,FIXED,Frank De Amont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,58263,"206 Northampton St. - Spot #3, 4, 5, 6 or 7 Only","206 Northampton Street Boston, MA, 02118",IN OPERATION,Daily Monthly & Event,5,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'16.1""N 71°04'47.5""W",,FIXED,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,207 Newbury St. - Whole Tandem Spot (ARCHIVED),"207 Newbury Street, Boston, MA, 02116",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Senofer Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,141586,208 Allston St. - Spot #10 Only,"208 Allston Street Boston, MA, 02135",IN OPERATION,Daily Only,1,,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'46.9""N 71°08'17.3""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,21 Bowdoin St. - Spot #12 Only (ARCHIVED),"21 Bowdoin St, Boston, MA 02114, USA",PERMANENTLY CLOSED,Events and Daily ONLY,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°21'39.9""N 71°03'48.3""W",,,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,24410,"21 Iroquois St. - Spots #1, #2, #3 or #4 Only","21 Iroquois Street, Boston, MA 02120",IN OPERATION,Daily Monthly & Event,4,3,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.330133,-71.1037001",,FIXED,Alp Kantar; Puspa Jelita,Plain(Flat) Access,Slippery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,72653,"21 Lancaster St.- Spot #29, 30, 31, 32, 33, 34 and 35 only","21 Lancaster Street, Boston, MA, 02114",IN OPERATION,Events and Daily ONLY,7,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.364072,-71.062234",,FIXED,Stanhope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON ,86054,21 Nassau St. - Spot #3 Only,"21 Nassau Street, Toronto, ON, M5T 2L7",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"43.655376,-79.400549",,FIXED,SONIA NORRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,210 Babcock St. -#1 and #2 (ARCHIVED) ,"210 Babcock Street Brookline, MA, 02446",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,27210,"210 Green St. - Spot #1, 2, 3 or 4 Only","210 Green Street, Cambridge, MA 02139",IN OPERATION,Daily Only,4,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.363872,-71.102845",,FIXED,OLD SPOT- Emmanuel Doe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,103313,"2103 N Leavitt St. - Left Spot Only

","2103 N Leavitt St, Chicago, IL 60647",IN OPERATION,Daily&Monthly,1,1,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41.920139,-87.682167","DO NOT TOW : 
2022 Volkswagen Taos (Blue), LP: BAK-5675
As per the landlord, this vehicle will occupy the South parking spot starting May 1st.",FIXED,Jeff Hoobler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,75786,2105 W Walton St. - Alley Spot,"2105 West Walton Street Chicago, IL, 60622",IN OPERATION,Events and Daily ONLY,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41.898472,-87.680056",,FIXED,Chad Fredrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,2108 Wilcox St. - Right Spot only (ARCHIVED) ,"2108 Green Street, Philadelphia, PA, 19130",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Nicholas Volpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,211 W 8th St. - Spot #2 or 3 (ARCHIVED) ,"211 West 8th Street, Boston, MA 02127",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,50310,2114 W Madison St. - Right Spot Only,"2114 West Madison Street, Chicago, IL 60612",IN OPERATION,Event Only,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Robert Muzikowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,125715,2118 Walnut St. - Spot A or B Only,2118 Walnut Street Philadelphia PA 19103 ,IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"39.950472,-75.176806",,FIXED,Heather S Baldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,2122 N Lincoln Ave. - Spot #265 Only (ARCHIVED),2114 W Madison St. - Alley Spot #1 Only,PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Amelia Sturm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,129217,212 Dorchester St. - Spot #2 or #3 Only,"212 Dorchester St, Boston, MA 02127, USA",IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°19'58.7""N 71°03'00.9""W",,,Parking Boston Inc. - Jasmine Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,67965,2127 N Lincoln Ave. - Alley Spot #128,"2127 North Lincoln Avenue, Chicago, IL, 60614",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"41.920972,-87.641972",,FIXED,Eric Sou & Carole Campedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA ,100305,2132 5th Ave. - Spot P-5,2132 5th Ave Seattle WA 98121,IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"47.615444, -122.341213",,FIXED,Teri Rutherford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,214 Freeman St. - Spot #4 (ARCHIVED) ,"214 Freeman Street, Brookline, MA 02446",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Sammi Zelkha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,215 N Aberdeen St. - Spot #11 (ARCHIVED),"215 North Aberdeen Street, Chicago, IL, 60607",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Samuel John Canero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,85012,2152 Dundas St. - Parallel Spot #1 or #2,"2152 Dundas Street West, Toronto, ON, M6R 1X2",IN OPERATION,Daily Only,2,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"43.6531362,-79.4498151",,70/30,Frank Scali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,2158 N Damen Avenue - Spot #3 (ARCHIVED) ,"2158 North Damen Avenue, Chicago, IL, 60647",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,Douglas Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON DC,,217 Adams St. NE - Spot #2 Only (ARCHIVED) ,"217 Adams Street Northeast, Washington, DC, 20002",PERMANENTLY CLOSED,PERMANENTLY CLOSED,0,0,Not Listed,,Not Listed,,Not Listed,,Not Listed,,N/A,N/A,N/A,LeaAda Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,131820,213 Kelton St. - Spot #46 Only,"217 Kelton St, Boston, MA 02134, USA",IN OPERATION,Daily Only,1,N/A,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42°20'48.4""N 71°08'14.8""W",,,Jong Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,24407,"218 Freeman St. - Spots #5, #6, #7, #8 or #9 Only","218 Freeman Street, Brookline, MA 02446",IN OPERATION,Daily Monthly & Event,5,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3475378,-71.1199261",,FIXED,Angela Politman,,Not included last winter 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,91395,219 Beacon St. - Lot,"219 Beacon St, Somerville, MA 02143",IN OPERATION,Daily&Monthly,4,3,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"42.3812175,-71.1100174",,FIXED,David Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,147512,"219 NW 15th Ave. - Spot #1, 2, 3, 4 or #5 Only","219 Northwest 15th Avenue Miami, FL 33125",IN OPERATION,Events and Daily ONLY,5,4,Not Listed,,Not Listed,,Not Listed,,Not Listed,,"25°46'32.5""N 80°13'10.9""W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
