Cluster,Facility Id,Name,Our total inv left,Competitor total Inv left,Time period
Thatcher St. ,20149,"79 Thatcher St. (90 Thatcher St.) - Spots #1, 2, 3, or 4 Only",,,
Thatcher St. ,86028,76 Egmont St. - Spot #1 or #2 Only,,125,
Thatcher St. ,96015,319 St. Paul St. - Spot #3 or #4 Only,,125,
Queensberry Street,49125,56 Queensberry - Personal Spots #1-4,,125,
Queensberry Street,82320,"62 Queensberry St. - Spot #1, 2, or 5 Only",,125,
Queensberry Street,69385,66 Queensberry St. - Spot #1 or #2,,125,
Park Drive,27874,"447 Park Drive - Spot #1, 2, 3 or 4 Only",,125,
Park Drive,26880,448 Park Drive - Spot #3,,125,
Park Drive,23052,451 Park Dr. - Spot #3 or 6 ONLY - Alley Entrance,,125,
Park Drive,28761,461 Park Drive - Parallel Spot - Alley Entrance,,125,
Park Drive,28035,463 Park Drive - Compact Spot #1,,125,
Park Drive,27870,463 Park Drive - Parallel Spot #2 - Alley Entrance,,125,
Park Drive,24640,61 Park Dr. - Spot G,,125,
Park Drive,24507,15 Aberdeen St. - Spot #9 - Alley Entrance,,125,
Park Drive,24448,15-17 Aberdeen St. - Spots #3 or 6 ONLY - Alley Entrance,,20,
Fenway,29062,80 Fenway - Angle Parking,,125,
Fenway,81792,84 Fenway - Spot #5 only,,125,
Fenway,49089,84 Fenway - Alley Spots,,125,
Keswick,87263,15 Keswick St. - Spot #1 or 2 Only - Alley Entrance,,125,
Keswick,85596,14 Keswick St. - Spot #3 only,,125,
Summit Ave,87013,"309 Summit Ave. - Angle Parking Spot #4, 5 or 6",,13,
Summit Ave,89237,287 Summit Ave. - Driveway Spot,,13,
Summit Ave,100404,"305 Summit Ave - Spot #7, 8, 9, 13 or 14 Only",,13,
Bay State Rd,88199,"12 Bay State Rd. - Spot #3, 4, 5, 6, 7, 8 or 9 Only",,125,
Bay State Rd,29821,27 Bay State Rd - Whole Tandem Row - Lot,,125,
Bay State Rd,26487,39 Bay State Rd. - Spot #P6 or #P7,,125,
Bay State Rd,28074,41- 43 Bay State Rd. - Alley Spots,,125,
Bay State Rd,29191,"27 Back St. - Spots 1, 2, or 3",,125,
Saint Paul St,85392,102 Sewall Ave. - Spot #27 Only,,125,
Saint Paul St,118325,"83 Longwood Ave. - Parallel Spots #1, 2, or 3 Only",,125,
Saint Paul St,26257,"180 Saint Paul St. - Spot #1, 3 or 5 ONLY",,125,
Saint Paul St,26258,180 Saint Paul St. - Spot #6,,125,
Saint Paul St,67272,1318 Beacon St. - Lot,,125,
Saint Paul St,100272,112 Longwood Ave. - Spot #16 outdoor or Garage #5 Only,,125,
Green Street,27210,"210 Green St. - Spot #1, 2, 3 or 4 Only",,125,
Green Street,24440,8 Douglass St. - Spots #1 or 2,,,
Green Street,87674,"355 Green St. - Spot #1, #2 ,#3 ,#4 or #5 only",,125,
