Username,Quantity,Status,Event Name,Event Date,Venue,City,State,Section,Row,Seats,Seat Type,Stock Type,Split Type,Internal Notes,Public Notes,Face,Total Cost,List,Inhand Date,Broadcast
steven-lawrence-3,10,ACTIVE,Rawayana Parking,2026-12-05 8:01pm,Kaseya Center Parking,Miami,FL,610 NW 1ST CT .- 0.7 MILES,GA7,10-Jan,general_admission,pdf,any,,"Parking pass only
0.7 miles from venue",0,112.5,27,2026-12-04T20:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Rawayana Parking,2026-12-05 8:01pm,Kaseya Center Parking,Miami,FL,105 NE 3RD AVE- 0.6 MILES,GA7,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,154.5,32,2026-12-04T20:01:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-06 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA4,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLYÂ´
0.6 MILES FROM VENUE",0,32.1,21,2026-12-05T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-07 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA5,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-06T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-08 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA9,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-07T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-09 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA6,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-08T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-10 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA9,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-09T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-11 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA4,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-10T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-12 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA3,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-11T17:46:00.000Z,Y
steven-lawrence-3,10,ACTIVE,David Bisbal Parking,2026-12-19 8:01pm,James Knight Center Parking,Miami,FL,(M) 29 NW 1ST ST. - CINDY LOT- 0.4 MILES,GA4,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.4 MILES FROM VENUE",0,53,20,2026-12-18T20:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Niall Horan Parking,2027-05-01 7:31pm,Toyota Center - TX Parking,Houston,TX,1400 TRAVIS ST. - 0.5 MILES,GA4,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.5 MILES FROM VENUE",0,88,21,2027-04-30T19:31:00.000Z,Y
