Username,Quantity,Status,Event Name,Event Date,Venue,City,State,Section,Row,Seats,Seat Type,Stock Type,Split Type,Internal Notes,Public Notes,Face,Total Cost,List,Inhand Date,Broadcast
steven-lawrence-3,2,ACTIVE,2026 Bourbon and Beyond Festival - Friday Parking,2026-09-25 12:01pm,Kentucky Exposition Center Parking,Louisville,KY,THE SPARK BY HILTON LOUISVILLE PARKING.- 0.4 MILES,GA8,2-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
FRIDAY PASS ONLY
0.4 MILES FROM VENUE",0,16.3,23,2026-09-24T12:01:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Teddy Swims Parking,2026-09-26 7:01pm,Grand Casino Arena Parking,Saint Paul,MN,500 BROADWAY ST LOT - 1.0 MILES,GA9,8-Jan,general_admission,pdf,any,,"Parking Passes Only
1.0 miles away from venue",0,25.44,18,2026-09-25T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Rod Wave Parking,2026-09-26 8:01pm,American Airlines Center - TX Parking,Dallas,TX,INSPIRATION LOT- 0.7 MILES FROM VENUE,GA2,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,57.3,20,2026-09-25T20:01:00.000Z,Y
steven-lawrence-3,1,ACTIVE,Usher and Chris Brown Parking,2026-09-29 7:01pm,State Farm Stadium Parking,Glendale,AZ,TANGER OUTLET LOT,GA7,1,general_admission,pdf,any,,"Parking pass only
0.4miles from venue",0,15,27,2026-09-28T19:01:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Usher and Chris Brown Parking,2026-09-29 7:01pm,State Farm Stadium Parking,Glendale,AZ,6812 N. 95TH AVE LOT- 0.4 MILES,GA8,8-Jan,general_admission,pdf,any,,"Parking pass only
0.4 miles from venue",0,212,40,2026-09-28T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Usher and Chris Brown Parking,2026-09-29 7:01pm,State Farm Stadium Parking,Glendale,AZ,6800 N. 95TH AVE LOT- 0.4 MILES,GA8,9-Jan,general_admission,pdf,any,,"PARKING PASSES ONLY
0.4 MILES FROM VENUE",0,143.1,29,2026-09-28T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Aespa Parking,2026-09-29 8:01pm,American Airlines Center - TX Parking,Dallas,TX,INSPIRATION LOT- 0.7 MILES,GA8,10-Jan,general_admission,pdf,any,,"Parking Pass Only
0.7 miles from venue",0,57.3,19,2026-09-28T20:01:00.000Z,Y
steven-lawrence-3,7,ACTIVE,Brooks and Dunn Parking,2026-10-01 7:01pm,Paycom Center Parking,Oklahoma City,OK,517 W. RENO AVE LOT- 0.4 MILES,GA7,7-Jan,general_admission,pdf,any,,"Parking passes only
0.4 miles from venue",0,40.25,19,2026-09-30T19:01:00.000Z,Y
steven-lawrence-3,3,ACTIVE,Brooks and Dunn Parking,2026-10-01 7:01pm,Paycom Center Parking,Oklahoma City,OK,323 NW 4TH ST (0.8 MILES),GA4,3-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.8 MILES FROM VENUE",0,30,25,2026-09-30T19:01:00.000Z,Y
steven-lawrence-3,4,READY,Sombr Parking,2026-10-01 7:01pm,Climate Pledge Arena Parking,Seattle,WA,330 DEXTER AVE. N LOT  (0.7 MILES),0,4-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,23.96,20,2026-09-30T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Don Omar Parking,2026-10-01 8:01pm,American Airlines Center - TX Parking,Dallas,TX,INSPIRATION LOT- 0.7 MILES,GA6,9-Jan,general_admission,pdf,any,,"Parking pass only
0.7 miles from venue",0,51.57,17,2026-09-30T20:01:00.000Z,Y
steven-lawrence-3,15,ACTIVE,Bert Kreischer Parking,2026-10-03 7:01pm,Rocket Arena Parking,Cleveland,OH,1514 HAMILTON AVE. (LOT 8013) - 0.9 MILES,GA4,15-Jan,general_admission,pdf,any,,"Parking pass only
0.9 miles from venue",0,48.15,14,2026-10-02T19:01:00.000Z,Y
steven-lawrence-3,2,READY,Auburn Tigers at Tennessee Vols Football Parking,2026-10-03 11:59pm,Neyland Stadium Parking,Knoxville,TN,2001 CLINCH AVE - BLACK LOT (1.0 MILES FROM VENUE),0,2-Jan,general_admission,pdf,any,,"1.0 MILES FROM VENUE
PARKING PASS ONLY",0,22,27,2026-10-02T23:59:00.000Z,Y
steven-lawrence-3,7,ACTIVE,Journey Parking,2026-10-04 7:31pm,Grand Casino Arena Parking,Saint Paul,MN,500 BROADWAY ST- 1.0 MILES,GA8,7-Jan,general_admission,pdf,any,,"Parking pass only
1.0 miles from venue",0,22.47,15,2026-10-03T19:31:00.000Z,Y
steven-lawrence-3,5,ACTIVE,Sombr Parking,2026-10-07 7:01pm,SAP Center Parking,San Jose,CA,225 W. SANTA CLARA ST. GARAGE- 0.4 MILE,GA9,5-Jan,general_admission,pdf,any,,"Parking Passes Only
0.4 miles from venue",0,60.7,26,2026-10-06T19:01:00.000Z,Y
steven-lawrence-3,7,ACTIVE,Bring Me the Horizon Parking,2026-10-08 7:01pm,Van Andel Arena Parking,Grand Rapids,MI,GOLDEN SAINT PARKING LOT - 1.0 MILES,GA4,7-Jan,general_admission,pdf,any,,"Parking pass only
1.0 miles from venue",0,91.63,24,2026-10-07T19:01:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Five Finger Death Punch Parking,2026-10-10 6:46pm,MidFlorida Credit Union Amphitheatre at the Florida State Fair Grounds Parking,Tampa,FL,LA QUINTA INN - 4811-US 301 N (0.7 MILES AWAY),GA9,8-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,56,22,2026-10-09T18:46:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Usher and Chris Brown Parking,2026-10-10 7:01pm,Reliant Stadium Parking,Houston,TX,2616 S. LOOP W - 0.9 MILES,GA2,9-Jan,general_admission,pdf,any,,"Parking passes only
0.9 miles from venue",0,196.29,34,2026-10-09T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Bruno Mars Parking,2026-10-11 7:01pm,Levi's Stadium Parking,Santa Clara,CA,2953 BUNKER HILL LN LOT-0.7MILES,GA7,9-Jan,general_admission,pdf,any,,"Parking Pass Only
0.7 miles from venue",0,417.6,58,2026-10-10T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Kacey Musgraves Parking,2026-10-11 7:31pm,American Airlines Center - TX Parking,Dallas,TX,INSPIRATION LOT-0.7 MILES,GA6,10-Jan,general_admission,pdf,any,,"Parking pass only
0.7 miles from venue",0,57.3,17,2026-10-10T19:31:00.000Z,Y
steven-lawrence-3,8,ACTIVE,Sombr Parking,2026-10-13 7:31pm,Pechanga Arena Parking,San Diego,CA,2771 KURTZ ST LOT-  0.7 MILES,GA7,8-Jan,general_admission,pdf,any,,"Handicap Accessible
Parking pass only
0.7 miles from venue",0,160,32,2026-10-12T19:31:00.000Z,Y
steven-lawrence-3,7,ACTIVE,Clint Black Parking,2026-10-15 7:01pm,Louisville Palace Parking,Louisville,KY,320 W BROADWAY - HEYBURN LOT- 0.2 MILES,GA8,7-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.2 MILES FROM VENUE",0,59.36,23,2026-10-14T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Weezer Parking,2026-10-16 7:01pm,Toyota Center - TX Parking,Houston,TX,LEELAND (1515 SAN JACINTO STREET)- 0.3 MILES,GA3,9-Jan,general_admission,pdf,any,,"Parking Passes Only
0.3 miles from venue",0,190.8,36,2026-10-15T19:01:00.000Z,Y
steven-lawrence-3,2,READY,Weezer Parking,2026-10-16 7:01pm,Toyota Center - TX Parking,Houston,TX,ATHENS HOTEL & SUITES - 1308 CLAY ST GARAGE-0.3 MILES FROM VENUE,0,2-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.3 MILES FROM VENUE",0,40,38,2026-10-15T19:01:00.000Z,Y
